13,472763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x02
14,478763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x02
15,484763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x02
16,490763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x02
17,496763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x02
18,502763,0x1c,0x50,0xa0,0x50,0xa0,0x50,0x02
19,508763,0x1b,0x50,0xa0,0x50,0xa0,0x50,0x02
20,514763,0x1b,0x50,0xa0,0x50,0xa0,0x50,0x02
21,520763,0x1a,0x50,0xa0,0x50,0xa0,0x50,0x02
22,526763,0x1a,0x50,0xa0,0x50,0xa0,0x50,0x01
23,532763,0x19,0x50,0xa0,0x50,0xa0,0x50,0x01
24,538763,0x19,0x50,0xa0,0x50,0xa0,0x50,0x01
25,544763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x01
26,550763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x02
27,556763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x02
28,562763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x01
29,568763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x01
30,574763,0x1f,0x50,0xa0,0x50,0xa0,0x50,0x01
31,580763,0x1e,0x50,0xa0,0x50,0xa0,0x50,0x01
32,586763,0x1e,0x50,0xa0,0x50,0xa0,0x50,0x02
33,592763,0x1d,0x50,0xa0,0x50,0xa0,0x50,0x02
34,598763,0x1d,0x50,0xa0,0x50,0xa0,0x50,0x02
35,604763,0x1c,0x50,0xa0,0x50,0xa0,0x50,0x01
36,610763,0x1c,0x50,0xa0,0x50,0xa0,0x50,0x01
37,616763,0x1b,0x50,0xa0,0x50,0xa0,0x50,0x01
38,622763,0x19,0x50,0xa0,0x50,0xa0,0x50,0x01
39,628763,0x15,0x50,0x32,0x14,0x32,0x14,0x02
40,634763,0x15,0x50,0x32,0x14,0x32,0x14,0x02
41,640763,0x15,0x50,0x32,0x14,0x32,0x14,0x02
42,646763,0x15,0x50,0x32,0x14,0x32,0x14,0x02
43,652763,0x15,0x50,0x32,0x14,0x32,0x14,0x02
44,658763,0x15,0x50,0x32,0x14,0x32,0x14,0x02
45,664763,0x15,0x50,0x32,0x14,0x32,0x14,0x02
46,670763,0x10,0x50,0x32,0x14,0x32,0x14,0x02
47,676763,0x10,0x50,0x32,0x14,0x32,0x14,0x02
48,682763,0x10,0x50,0x32,0x14,0x32,0x14,0x02
49,688763,0x10,0x50,0x32,0x14,0x32,0x14,0x02
50,694763,0x0e,0x74,0x32,0x14,0x32,0x14,0x02
51,700763,0x0e,0x74,0x32,0x14,0x32,0x14,0x02
52,706763,0x0e,0x74,0x32,0x14,0x32,0x14,0x02
53,712763,0x04,0x50,0x32,0x14,0x32,0x14,0x02
54,718763,0x04,0x50,0x32,0x14,0x32,0x14,0x02
55,724763,0x04,0x50,0x32,0x14,0x32,0x14,0x02
56,730763,0x03,0x50,0x32,0x14,0x32,0x14,0x02
57,736763,0x03,0x50,0x32,0x14,0x32,0x14,0x02
58,742763,0x03,0x50,0x32,0x14,0x32,0x14,0x02
59,748763,0x03,0x50,0x32,0x14,0x32,0x14,0x02
60,754763,0x02,0x50,0x32,0x14,0x32,0x14,0x02
61,760763,0x02,0x50,0x32,0x14,0x32,0x14,0x02
62,766763,0x02,0x50,0x32,0x14,0x32,0x14,0x02
63,772763,0x01,0x50,0x32,0x14,0x32,0x14,0x02
64,778763,0x01,0x50,0x32,0x14,0x32,0x14,0x02
65,784763,0x01,0x50,0x32,0x14,0x32,0x14,0x02
66,790763,0x00,0x50,0x32,0x14,0x32,0x14,0x02
67,796763,0x00,0x50,0x32,0x14,0x32,0x14,0x02
68,802763,0x00,0x50,0x32,0x14,0x32,0x14,0x02
